start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
188.436,188.604,0.168,G#6,92,1661.22,92.3,0.891,
188.604,188.941,0.337,B6,95,1975.53,94.7,0.722,
189.237,189.446,0.209,B6,95,1975.53,94.8,0.827,
189.945,190.096,0.151,F#5,78,739.99,77.8,0.483,
194.078,194.223,0.145,A6,93,1760.0,93.0,0.946,
194.223,194.566,0.342,B6,95,1975.53,95.12,0.426,
194.577,194.659,0.081,D6,86,1174.66,85.67,0.655,
194.955,195.053,0.099,B6,95,1975.53,94.55,0.323,
198.908,199.018,0.11,D6,86,1174.66,85.9,0.897,
199.036,199.181,0.145,G5,79,783.99,79.4,0.757,
200.266,200.4,0.134,G#6,92,1661.22,91.7,0.616,
204.8,204.887,0.087,F#6,90,1479.98,89.6,0.827,
205.055,205.166,0.11,A#6,94,1864.66,94.5,0.891,
205.311,205.537,0.226,A#6,94,1864.66,94.5,0.549,
205.537,205.764,0.226,D#6,87,1244.51,87.4,0.985,
205.764,205.938,0.174,G6,91,1567.98,90.7,0.827,
207.035,207.163,0.128,A#6,94,1864.66,93.95,0.485,
207.221,207.308,0.087,B6,95,1975.53,95.0,0.372,
211.04,211.261,0.221,A#6,94,1864.66,93.72,0.827,
211.267,211.447,0.18,D6,86,1174.66,86.1,0.68,
211.447,211.609,0.163,E6,88,1318.51,88.1,0.891,
211.992,212.126,0.134,B6,95,1975.53,95.0,0.946,
212.196,212.3,0.104,B6,95,1975.53,94.95,0.792,
212.323,212.428,0.104,F#6,90,1479.98,90.4,0.517,
212.863,212.997,0.134,G6,91,1567.98,91.1,0.476,
213.101,213.182,0.081,F#6,90,1479.98,90.5,0.485,
217.751,217.867,0.116,G#6,92,1661.22,91.6,0.827,
217.931,218.099,0.168,B6,95,1975.53,95.0,0.757,
218.204,218.523,0.319,D6,86,1174.66,85.7,0.5,
218.639,218.807,0.168,C#6,85,1108.73,84.85,0.463,
220.282,220.421,0.139,B6,95,1975.53,95.2,0.891,
225.611,225.762,0.151,A6,93,1760.0,93.22,0.946,
225.953,226.087,0.134,B6,95,1975.53,94.8,0.485,
226.226,226.354,0.128,B6,95,1975.53,94.65,0.756,
226.395,226.482,0.087,E6,88,1318.51,87.6,0.686,
227.672,227.805,0.134,B6,95,1975.53,94.55,0.757,
228.606,228.757,0.151,B6,95,1975.53,94.7,0.485,
235.038,235.189,0.151,B6,95,1975.53,94.7,0.859,
235.294,235.479,0.186,D6,86,1174.66,85.7,0.882,
235.938,236.025,0.087,B6,95,1975.53,95.1,0.985,
241.371,241.575,0.203,A6,93,1760.0,93.1,0.891,
242.451,242.631,0.18,B6,95,1975.53,95.0,0.827,
242.631,242.782,0.151,A#6,94,1864.66,94.3,0.757,
242.858,243.066,0.209,A6,93,1760.0,92.7,0.891,
243.101,243.223,0.122,E6,88,1318.51,88.2,0.426,
248.099,248.308,0.209,A#6,94,1864.66,93.65,0.985,
248.935,249.075,0.139,C#6,85,1108.73,85.0,0.415,
249.139,249.597,0.459,B6,95,1975.53,95.2,0.985,
250.108,250.276,0.168,G6,91,1567.98,90.9,0.891,
250.729,250.857,0.128,A#6,94,1864.66,94.1,0.651,
254.311,254.45,0.139,A#6,94,1864.66,93.85,0.891,
254.462,254.833,0.372,A#6,94,1864.66,93.58,0.891,
255.327,255.408,0.081,D#6,87,1244.51,87.0,0.582,
255.565,255.82,0.255,A6,93,1760.0,92.93,0.859,
256.11,256.25,0.139,C#6,85,1108.73,85.4,0.332,
256.377,256.557,0.18,B6,95,1975.53,94.8,0.616,
260.232,260.481,0.25,G6,91,1567.98,91.4,0.891,
260.481,260.952,0.47,A6,93,1760.0,93.4,0.891,
261.039,261.573,0.534,A#6,94,1864.66,94.3,0.891,
261.602,261.933,0.331,D6,86,1174.66,86.2,0.567,
262.612,262.786,0.174,F6,89,1396.91,88.6,0.757,
266.977,267.082,0.104,F6,89,1396.91,89.25,0.919,
267.146,267.256,0.11,A#6,94,1864.66,93.8,0.891,
267.366,267.517,0.151,B6,95,1975.53,95.4,0.946,
267.523,267.656,0.134,E6,88,1318.51,87.8,0.827,
267.981,268.185,0.203,A#6,94,1864.66,94.1,0.946,
268.347,268.44,0.093,D#6,87,1244.51,86.7,0.206,
268.51,268.881,0.372,B6,95,1975.53,95.3,0.859,
269.961,270.042,0.081,A6,93,1760.0,92.9,0.792,
273.49,273.624,0.134,A#6,94,1864.66,93.9,0.985,
